data,hora,taxa
2025/09/23,08:23:10,15.020264627543959
2025/09/23,08:23:11,14.936002274769352
2025/09/23,08:23:12,15.351657018932443
2025/09/23,08:23:13,14.759826076785982
2025/09/23,08:23:14,14.901869591879947
2025/09/23,08:23:15,14.579462849582052
2025/09/23,08:23:16,14.500828747017884
2025/09/23,08:23:17,14.883525222261783
2025/09/23,08:23:18,14.780795347675799
2025/09/23,08:23:19,15.35434755463432
2025/09/23,08:26:13,14.669238800296473
2025/09/23,08:26:14,15.19778192992902
2025/09/23,08:26:15,15.259457265384281
2025/09/23,08:26:16,15.002472970682174
2025/09/23,08:26:17,14.898242733437028
2025/09/23,08:26:18,14.86502998925392
2025/09/23,08:26:19,15.308658840923037
2025/09/23,08:26:20,14.416458750040166
2025/09/23,08:26:21,14.975234922009589
2025/09/23,08:26:22,14.402657364391846
2025/09/23,08:35:31,14.446850903361097
2025/09/23,08:35:32,15.208812052015613
2025/09/23,08:35:33,15.340357173813482
2025/09/23,08:35:34,15.228403962716197
2025/09/23,08:35:35,15.07142870787327
2025/09/23,08:35:36,14.883740571763434
2025/09/23,08:35:37,14.965693737256078
2025/09/23,08:35:38,15.181074633816705
2025/09/23,08:35:39,14.937613131226499
2025/09/23,08:35:40,15.235424305187816
2025/09/25,08:12:31,15.202783125156763
2025/09/25,08:12:32,15.22163019552955
2025/09/25,08:12:33,14.686105324800936
2025/09/25,08:12:34,15.083888281428791
2025/09/25,08:12:35,14.521659661849384
2025/09/25,08:12:36,14.857243339544892
2025/09/25,08:12:37,15.367698530295232
2025/09/25,08:12:38,14.449363686559087
2025/09/25,08:12:39,15.202725795564838
2025/09/25,08:12:40,14.474497596812014
2025/09/25,08:13:29,15.252511966310955
2025/09/25,08:13:30,14.686426811007319
2025/09/25,08:13:31,14.824991174439731
2025/09/25,08:13:32,14.438899674099693
2025/09/25,08:13:33,14.657872009131179
2025/09/25,08:13:34,14.970897373114763
2025/09/25,08:13:35,14.987082673228864
2025/09/25,08:13:36,14.785517736643499
2025/09/25,08:13:37,14.437098473284923
2025/09/25,08:13:38,15.074376921869128
